date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:47:13	36028/36028	---M-Z	200	added ('OK')	application/javascript	etag:%228cbc-58316f648f1a8-gzip%22	https://www.wrappixel.com/ampleadmin/assets/libs/bootstrap-table/dist/bootstrap-table-locale-all.min.js	C:/Users/91972/Desktop/New%20folder/adminPanel2/www.wrappixel.com/ampleadmin/assets/libs/bootstrap-table/dist/bootstrap-table-locale-all.min.js	(from https://www.wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin/table-bootstrap.html)
12:47:14	3068/3068	---M-Z	200	added ('OK')	application/javascript	etag:%22bfc-58666638b4257-gzip%22	https://www.wrappixel.com/ampleadmin/assets/libs/bootstrap-table/dist/extensions/export/bootstrap-table-export.min.js	C:/Users/91972/Desktop/New%20folder/adminPanel2/www.wrappixel.com/ampleadmin/assets/libs/bootstrap-table/dist/extensions/export/bootstrap-table-export.min.js	(from https://www.wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin/table-bootstrap.html)
12:47:15	8096/8096	---M-Z	200	added ('OK')	application/javascript	etag:%221fa0-58666638b463f-gzip%22	https://www.wrappixel.com/ampleadmin/dist/js/pages/tables/bootstrap-table.init.js	C:/Users/91972/Desktop/New%20folder/adminPanel2/www.wrappixel.com/ampleadmin/dist/js/pages/tables/bootstrap-table.init.js	(from https://www.wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin/table-bootstrap.html)
12:47:16	33450/33450	---M-Z	200	added ('OK')	text/css	etag:%2282aa-58316f64c8b87-gzip%22	https://www.wrappixel.com/ampleadmin/assets/libs/jsgrid/dist/jsgrid-theme.min.css	C:/Users/91972/Desktop/New%20folder/adminPanel2/www.wrappixel.com/ampleadmin/assets/libs/jsgrid/dist/jsgrid-theme.min.css	(from https://www.wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin/table-jsgrid.html)
12:47:17	1802/1802	---M-Z	200	added ('OK')	text/css	etag:%2270a-58316f64c8b87-gzip%22	https://www.wrappixel.com/ampleadmin/assets/libs/jsgrid/dist/jsgrid.min.css	C:/Users/91972/Desktop/New%20folder/adminPanel2/www.wrappixel.com/ampleadmin/assets/libs/jsgrid/dist/jsgrid.min.css	(from https://www.wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin/table-jsgrid.html)
12:47:18	24539/24539	---M-Z	200	added ('OK')	application/javascript	etag:%225fdb-58316f64f9caf-gzip%22	https://www.wrappixel.com/ampleadmin/dist/js/pages/tables/js-grid-db.js	C:/Users/91972/Desktop/New%20folder/adminPanel2/www.wrappixel.com/ampleadmin/dist/js/pages/tables/js-grid-db.js	(from https://www.wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin/table-jsgrid.html)
12:47:19	37211/37211	---M-Z	200	added ('OK')	application/javascript	etag:%22915b-58316f64c8b87-gzip%22	https://www.wrappixel.com/ampleadmin/assets/libs/jsgrid/dist/jsgrid.min.js	C:/Users/91972/Desktop/New%20folder/adminPanel2/www.wrappixel.com/ampleadmin/assets/libs/jsgrid/dist/jsgrid.min.js	(from https://www.wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin/table-jsgrid.html)
12:47:20	7376/7376	---M-Z	200	added ('OK')	application/javascript	etag:%221cd0-58316f64f9caf-gzip%22	https://www.wrappixel.com/ampleadmin/dist/js/pages/tables/js-grid-init.js	C:/Users/91972/Desktop/New%20folder/adminPanel2/www.wrappixel.com/ampleadmin/dist/js/pages/tables/js-grid-init.js	(from https://www.wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin/table-jsgrid.html)
12:47:21	14577/14577	---M-Z	200	added ('OK')	text/css	etag:%2238f1-5863ae2b6b514-gzip%22	https://www.wrappixel.com/ampleadmin/assets/libs/tablesaw/dist/tablesaw.css	C:/Users/91972/Desktop/New%20folder/adminPanel2/www.wrappixel.com/ampleadmin/assets/libs/tablesaw/dist/tablesaw.css	(from https://www.wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin/table-responsive.html)
12:47:22	55935/55935	---M-Z	200	added ('OK')	application/javascript	etag:%22da7f-5863ae2b6b8fc-gzip%22	https://www.wrappixel.com/ampleadmin/assets/libs/tablesaw/dist/tablesaw.jquery.js	C:/Users/91972/Desktop/New%20folder/adminPanel2/www.wrappixel.com/ampleadmin/assets/libs/tablesaw/dist/tablesaw.jquery.js	(from https://www.wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin/table-responsive.html)
12:47:23	702/702	---M-Z	200	added ('OK')	application/javascript	etag:%222be-5863ae2b6b514-gzip%22	https://www.wrappixel.com/ampleadmin/assets/libs/tablesaw/dist/tablesaw-init.js	C:/Users/91972/Desktop/New%20folder/adminPanel2/www.wrappixel.com/ampleadmin/assets/libs/tablesaw/dist/tablesaw-init.js	(from https://www.wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin/table-responsive.html)
12:47:24	3204/3204	---M-Z	200	added ('OK')	application/javascript	etag:%22c84-58316f64f9caf-gzip%22	https://www.wrappixel.com/ampleadmin/dist/js/pages/tables/footable-init.js	C:/Users/91972/Desktop/New%20folder/adminPanel2/www.wrappixel.com/ampleadmin/dist/js/pages/tables/footable-init.js	(from https://www.wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin/table-footable.html)
12:47:25	6306/6306	---M-Z	200	added ('OK')	application/javascript	etag:%2218a2-58316f64f9caf-gzip%22	https://www.wrappixel.com/ampleadmin/dist/js/pages/morris/morris-data.js	C:/Users/91972/Desktop/New%20folder/adminPanel2/www.wrappixel.com/ampleadmin/dist/js/pages/morris/morris-data.js	(from https://www.wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin/chart-morris.html)
12:47:26	3738/3738	---M-Z	200	added ('OK')	application/javascript	etag:%22e9a-58316f64f90f7-gzip%22	https://www.wrappixel.com/ampleadmin/dist/js/pages/chartjs/chartjs.init.js	C:/Users/91972/Desktop/New%20folder/adminPanel2/www.wrappixel.com/ampleadmin/dist/js/pages/chartjs/chartjs.init.js	(from https://www.wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin/chart-chart-js.html)
12:47:27	10796/10796	---MCZ	403	error ('Forbidden')	text/html	date:Fri,%2027%20Dec%202019%2007:17:21%20GMT	https://www.wrappixel.com/ampleadmin/assets/libs/Chart.js/dist/Chart.min.js	C:/Users/91972/Desktop/New%20folder/adminPanel2/www.wrappixel.com/ampleadmin/assets/libs/Chart.js/dist/Chart.min.js	(from https://www.wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin/chart-chart-js.html)
12:47:29	7448/7448	---M-Z	200	added ('OK')	application/javascript	etag:%221d18-58316f64f9caf-gzip%22	https://www.wrappixel.com/ampleadmin/dist/js/pages/sparkline/jquery.charts-sparkline.js	C:/Users/91972/Desktop/New%20folder/adminPanel2/www.wrappixel.com/ampleadmin/dist/js/pages/sparkline/jquery.charts-sparkline.js	(from https://www.wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin/chart-sparkline.html)
12:47:30	8151/8151	---M-Z	200	added ('OK')	application/javascript	etag:%221fd7-58316f64f90f7-gzip%22	https://www.wrappixel.com/ampleadmin/dist/js/pages/chartist/chartist-init.js	C:/Users/91972/Desktop/New%20folder/adminPanel2/www.wrappixel.com/ampleadmin/dist/js/pages/chartist/chartist-init.js	(from https://www.wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin/chart-chartist.html)
12:47:31	747/747	---M-Z	200	added ('OK')	application/javascript	etag:%222eb-58316f64f8927-gzip%22	https://www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/axis/c3-rotated-axis.js	C:/Users/91972/Desktop/New%20folder/adminPanel2/www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/axis/c3-rotated-axis.js	(from https://www.wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin/chart-c3-axis.html)
12:47:32	767/767	---M-Z	200	added ('OK')	application/javascript	etag:%222ff-58316f64f8927-gzip%22	https://www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/axis/c3-category-axis.js	C:/Users/91972/Desktop/New%20folder/adminPanel2/www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/axis/c3-category-axis.js	(from https://www.wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin/chart-c3-axis.html)
12:47:33	787/787	---M-Z	200	added ('OK')	application/javascript	etag:%22313-58316f64f8d0f-gzip%22	https://www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/axis/c3-tick-culling.js	C:/Users/91972/Desktop/New%20folder/adminPanel2/www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/axis/c3-tick-culling.js	(from https://www.wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin/chart-c3-axis.html)
12:47:34	801/801	---M-Z	200	added ('OK')	application/javascript	etag:%22321-58316f64f8d0f-gzip%22	https://www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/axis/c3-tick-fitting.js	C:/Users/91972/Desktop/New%20folder/adminPanel2/www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/axis/c3-tick-fitting.js	(from https://www.wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin/chart-c3-axis.html)
12:47:35	908/908	---M-Z	200	added ('OK')	application/javascript	etag:%2238c-58316f64f8d0f-gzip%22	https://www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/axis/c3-timezone.js	C:/Users/91972/Desktop/New%20folder/adminPanel2/www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/axis/c3-timezone.js	(from https://www.wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin/chart-c3-axis.html)
12:47:36	685/685	---M-Z	200	added ('OK')	application/javascript	etag:%222ad-58316f64f8d0f-gzip%22	https://www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/axis/c3-y-axis.js	C:/Users/91972/Desktop/New%20folder/adminPanel2/www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/axis/c3-y-axis.js	(from https://www.wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin/chart-c3-axis.html)
12:47:37	675/675	---M-Z	200	added ('OK')	application/javascript	etag:%222a3-58316f64f8d0f-gzip%22	https://www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/axis/c3-y-axis-range.js	C:/Users/91972/Desktop/New%20folder/adminPanel2/www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/axis/c3-y-axis-range.js	(from https://www.wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin/chart-c3-axis.html)
12:47:38	672/672	---M-Z	200	added ('OK')	application/javascript	etag:%222a0-58316f64f8d0f-gzip%22	https://www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/bar-pie/c3-bar.js	C:/Users/91972/Desktop/New%20folder/adminPanel2/www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/bar-pie/c3-bar.js	(from https://www.wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin/chart-c3-bar.html)
12:47:39	1535/1535	---M-Z	200	added ('OK')	application/javascript	etag:%225ff-58316f64f8d0f-gzip%22	https://www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/bar-pie/c3-column.js	C:/Users/91972/Desktop/New%20folder/adminPanel2/www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/bar-pie/c3-column.js	(from https://www.wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin/chart-c3-bar.html)
12:47:39	1865/1865	---M-Z	200	added ('OK')	application/javascript	etag:%22749-58316f64f8d0f-gzip%22	https://www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/bar-pie/c3-donut.js	C:/Users/91972/Desktop/New%20folder/adminPanel2/www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/bar-pie/c3-donut.js	(from https://www.wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin/chart-c3-bar.html)
12:47:40	1788/1788	---M-Z	200	added ('OK')	application/javascript	etag:%226fc-58316f64f8d0f-gzip%22	https://www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/bar-pie/c3-pie.js	C:/Users/91972/Desktop/New%20folder/adminPanel2/www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/bar-pie/c3-pie.js	(from https://www.wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin/chart-c3-bar.html)
12:47:41	1310/1310	---M-Z	200	added ('OK')	application/javascript	etag:%2251e-58316f64f8d0f-gzip%22	https://www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/bar-pie/c3-stacked-bar.js	C:/Users/91972/Desktop/New%20folder/adminPanel2/www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/bar-pie/c3-stacked-bar.js	(from https://www.wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin/chart-c3-bar.html)
12:47:43	1628/1628	---M-Z	200	added ('OK')	application/javascript	etag:%2265c-58316f64f8d0f-gzip%22	https://www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/bar-pie/c3-stacked-column.js	C:/Users/91972/Desktop/New%20folder/adminPanel2/www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/bar-pie/c3-stacked-column.js	(from https://www.wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin/chart-c3-bar.html)
12:47:44	2053/2053	---M-Z	200	added ('OK')	application/javascript	etag:%22805-58316f64f8d0f-gzip%22	https://www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/data/c3-category-data.js	C:/Users/91972/Desktop/New%20folder/adminPanel2/www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/data/c3-category-data.js	(from https://www.wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin/chart-c3-data.html)
12:47:45	756/756	---M-Z	200	added ('OK')	application/javascript	etag:%222f4-58316f64f8d0f-gzip%22	https://www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/data/c3-column-oriented.js	C:/Users/91972/Desktop/New%20folder/adminPanel2/www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/data/c3-column-oriented.js	(from https://www.wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin/chart-c3-data.html)
12:47:46	881/881	---M-Z	200	added ('OK')	application/javascript	etag:%22371-58316f64f8d0f-gzip%22	https://www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/data/c3-data-color.js	C:/Users/91972/Desktop/New%20folder/adminPanel2/www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/data/c3-data-color.js	(from https://www.wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin/chart-c3-data.html)
12:47:47	1105/1105	---M-Z	200	added ('OK')	application/javascript	etag:%22451-58316f64f8d0f-gzip%22	https://www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/data/c3-data-from-url.js	C:/Users/91972/Desktop/New%20folder/adminPanel2/www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/data/c3-data-from-url.js	(from https://www.wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin/chart-c3-data.html)
12:47:47	1387/1387	---M-Z	200	added ('OK')	application/javascript	etag:%2256b-58316f64f8d0f-gzip%22	https://www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/data/c3-data-order.js	C:/Users/91972/Desktop/New%20folder/adminPanel2/www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/data/c3-data-order.js	(from https://www.wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin/chart-c3-data.html)
12:47:48	824/824	---M-Z	200	added ('OK')	application/javascript	etag:%22338-58316f64f8d0f-gzip%22	https://www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/data/c3-row-oriented.js	C:/Users/91972/Desktop/New%20folder/adminPanel2/www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/data/c3-row-oriented.js	(from https://www.wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin/chart-c3-data.html)
12:47:49	1111/1111	---M-Z	200	added ('OK')	application/javascript	etag:%22457-58316f64f8d0f-gzip%22	https://www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/line/c3-line.js	C:/Users/91972/Desktop/New%20folder/adminPanel2/www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/line/c3-line.js	(from https://www.wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin/chart-c3-line.html)
12:47:50	741/741	---M-Z	200	added ('OK')	application/javascript	etag:%222e5-58316f64f90f7-gzip%22	https://www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/line/c3-spline.js	C:/Users/91972/Desktop/New%20folder/adminPanel2/www.wrappixel.com/ampleadmin/dist/js/pages/c3-chart/line/c3-spline.js	(from https://www.wrappixel.com/ampleadmin/ampleadmin-html/ampleadmin/chart-c3-line.html)
